input_id	dealiased_id	standard_id	short_id
doi:10.1038/s41598-017-15220-z	doi:10.1038/s41598-017-15220-z	doi:10.1038/s41598-017-15220-z	1712tFir2
doi:10.1111/mec.12899	doi:10.1111/mec.12899	doi:10.1111/mec.12899	pMXQb1ws
doi:10.1038/ncomms11833	doi:10.1038/ncomms11833	doi:10.1038/ncomms11833	hXaHFDt8
doi:10.1093/femsec/fiw109	doi:10.1093/femsec/fiw109	doi:10.1093/femsec/fiw109	1FqfWxSK4
doi:10.1038/ncomms2441	doi:10.1038/ncomms2441	doi:10.1038/ncomms2441	jb10IqVq
doi:10.1016/j.jaci.2016.09.019	doi:10.1016/j.jaci.2016.09.019	doi:10.1016/j.jaci.2016.09.019	pbG74iC6
doi:10.1038/jid.2009.243	doi:10.1038/jid.2009.243	doi:10.1038/jid.2009.243	O0GrkZkO
doi:10.1186/s40168-019-0694-6	doi:10.1186/s40168-019-0694-6	doi:10.1186/s40168-019-0694-6	iRWDacwh
doi:10.1128/JB.00542-10	doi:10.1128/JB.00542-10	doi:10.1128/jb.00542-10	YDmYw34x
doi:10.1073/pnas.1606631113	doi:10.1073/pnas.1606631113	doi:10.1073/pnas.1606631113	WLqN9EEz
doi:10.3389/fenvs.2015.00084	doi:10.3389/fenvs.2015.00084	doi:10.3389/fenvs.2015.00084	16Zzqus1g
doi:10.22621/Maher	doi:10.22621/Maher	doi:10.22621/maher	1GfqufviL
doi:10.1038/s41587-019-0209-9	doi:10.1038/s41587-019-0209-9	doi:10.1038/s41587-019-0209-9	mliuquvv
doi:10.1038/nmeth.3869	doi:10.1038/nmeth.3869	doi:10.1038/nmeth.3869	LrI3Oo7K
doi:10.1093/nar/gks1219	doi:10.1093/nar/gks1219	doi:10.1093/nar/gks1219	Ib2rnjOH
doi:10.1038/s41598-017-00457-5	doi:10.1038/s41598-017-00457-5	doi:10.1038/s41598-017-00457-5	uYxo5XAf
doi:10.1038/ncomms10516	doi:10.1038/ncomms10516	doi:10.1038/ncomms10516	EdOUwa5o
doi:10.1007/s00248-003-2016-5	doi:10.1007/s00248-003-2016-5	doi:10.1007/s00248-003-2016-5	W0iBGMbH
doi:10.1016/B978-012362675-2/50012-4	doi:10.1016/B978-012362675-2/50012-4	doi:10.1016/b978-012362675-2/50012-4	EN982jyB
